idx,val24
531,66632
532,64492
533,59474
534,64469
535,64469
536,61480
537,74119
538,66920
539,60088
540,68900
541,60884
542,60069
543,66151
544,66151
545,67586
546,67685
547,61467
548,67442
549,65873
550,60533
551,68675
552,68675
553,64297
554,70229
555,66171
556,65264
557,70151
558,62610
559,69196
560,69196
561,64817
562,70982
563,67055
564,60927
565,68670
566,61265
567,66498
568,66498
569,64371
570,68420
571,67744
572,59519
573,72503
574,69809
575,69279
576,69279
577,72763
578,69815
579,74450
580,74532
581,67395
582,68704
583,72772
584,63908
585,63908
586,71826
587,72455
588,67486
589,78786
590,65914
591,67073
592,73963
593,73963
594,63539
595,69192
596,70618
597,76135
598,77642
599,67403
600,73648
601,73648
602,68906
603,72023
604,71048
605,68773
606,79362
607,65343
608,74284
609,74284
610,68199
611,63624
612,72746
613,65200
614,71446
615,59269
616,65238
617,61379
618,61379
619,57487
620,69918
621,63482
622,70110
623,62569
624,65801
625,66008
626,66008
627,59497
628,67245
629,63191
630,68600
631,66116
632,60176
633,64547
634,64547
635,64104
636,67130
637,63822
638,66828
639,75980
640,63617
641,67142
642,67142
643,64718
644,59953
645,70360
646,63773
647,71415
648,63791
649,58853
650,58853
651,70464
652,63768
653,69340
654,63499
655,62948
656,75852
657,58828
658,60651
659,60651
660,67007
661,60153
662,68073
663,58833
664,69894
665,73069
666,53091
667,53091
668,64431
669,64408
670,64066
671,66108
672,61834
673,64726
674,71086
675,71086
676,70288
677,66382
678,71944
679,65383
680,69193
681,70602
682,71556
683,71556
684,73019
685,64333
686,69763
687,66843
688,73222
689,75210
690,67423
691,67423
692,76379
693,70528
694,65464
695,69630
696,67775
697,76568
698,75152
699,68315
700,68315
701,75401
702,67919
703,62636
704,69811
705,73317
706,75427
707,66844
708,66844
709,64851
710,71587
711,63531
712,64953
713,71206
714,64974
715,69124
716,69124
717,71721
718,68432
719,67342
720,67812
721,70056
722,68623
723,65717
724,65717
725,64628
726,69790
727,62276
728,65156
729,76799
730,65667
731,68779
732,67378
733,67378
734,59759
735,67555
736,64119
737,65022
738,69574
739,64999
740,67415
741,67415
742,66663
743,64793
744,71453
745,71812
746,67055
747,66946
748,66026
749,66026
750,64401
751,66796
752,68173
753,73996
754,72259
755,67622
756,72784
757,72784
758,69628
759,66303
760,73105
761,72535
762,70963
763,73121
764,68366
765,68366
766,74791
767,69004
768,66939
769,75332
770,69804
771,70529
772,73928
773,73231
774,73231
775,68556
776,78438
777,70161
778,62458
779,70115
780,70413
781,74658
782,74658
783,73540
784,72159
785,71138
786,74190
787,65188
788,69577
789,74189
790,74189
791,72422
792,80293
793,74519
794,76366
795,72016
796,74232
797,81204
798,81204
799,73138
800,74325
801,72848
802,71532
803,77266
804,73719
805,76008
806,76008
807,77314
808,76117
809,79697
810,70512
811,70789
812,71163
813,72390
814,76150
815,76150
816,71096
817,72859
818,68498
819,72317
820,73959
821,66227
822,65108
823,65108
824,69273
825,72440
826,68816
827,68755
828,69394
829,69167
830,66248
831,66248
832,68754
833,69373
834,63466
835,61341
836,64997
837,67210
838,64398
839,64398
840,68442
841,68523
842,60003
843,62176
844,70550
845,64348
846,61610
847,61610
848,67454
849,66314
850,66661
851,70899
852,69406
853,67497
854,63888
855,66353
856,66353
857,71279
858,62641
859,64089
860,66466
861,66413
862,66912
863,65477
864,65477
865,67202
866,68508
867,68219
868,68800
869,69940
870,62745
871,71341
872,71341
873,69031
874,64023
875,72390
876,68863
877,74271
878,73251
879,71817
880,71817
881,74545
882,75098
883,75189
884,69828
885,70034
886,68638
887,69542
888,74617
889,74617
890,70116
891,67392
892,67466
893,66828
894,69380
895,67236
896,70675
897,70675
898,71357
899,66855
900,69106
901,69951
902,67052
903,65840
904,68757
905,68757
906,62868
907,63482
908,69056
909,62813
910,62773
911,65567
912,67392
913,67392
914,71538
915,67909
916,62679
917,64362
918,65489
919,69271
920,66514
921,66514
922,62566
923,65527
924,65825
925,65624
926,67060
927,68069
928,66871
929,73554
930,73554
931,69527
932,67178
933,73418
934,72641
935,75957
936,71308
937,72993
938,72993
939,79100
940,75143
941,76867
942,80360
943,74494
944,74152
